Player,Team,School/Previous Team,Year,Round,Pick
Rik Smits,Indiana Pacers,Marist,1988,1,2
Charles Smith,Philadelphia 76ers,Pittsburgh,1988,1,3
Chris Morris,New Jersey Nets,Auburn,1988,1,4
Mitch Richmond,Golden State Warriors,Kansas State,1988,1,5
Hersey Hawkins,Los Angeles Clippers,Bradley,1988,1,6
Tim Perry,Phoenix Suns,Temple,1988,1,7
Rex Chapman,Charlotte Hornets,Kentucky,1988,1,8
Rony Seikaly,Miami Heat,Syracuse,1988,1,9
David Robinson,San Antonio Spurs,Navy,1987,1,1
Armen Gilliam,Phoenix Suns,Nevada-Las Vegas,1987,1,2
Dennis Hopson,New Jersey Nets,Ohio State,1987,1,3
Reggie Williams,Los Angeles Clippers,Georgetown,1987,1,4
Scottie Pippen,Seattle SuperSonics,Central Arkansas,1987,1,5
Kenny Smith,Sacramento Kings,North Carolina,1987,1,6
Kevin Johnson,Cleveland Cavaliers,California,1987,1,7
Olden Polynice,Chicago Bulls,Virginia,1987,1,8
Derrick McKey,Seattle SuperSonics,Alabama,1987,1,9
Brad Daugherty,Cleveland Cavaliers,North Carolina,1986,1,1
Len Bias,Boston Celtics,Maryland,1986,1,2
Chris Washburn,Golden State Warriors,North Carolina State,1986,1,3
Chuck Person,Indiana Pacers,Auburn,1986,1,4
Kenny Walker,New York Knicks,Kentucky,1986,1,5
William Bedford,Phoenix Suns,Memphis,1986,1,6
Roy Tarpley,Dallas Mavericks,Michigan,1986,1,7
Ron Harper,Cleveland Cavaliers,Miami (OH),1986,1,8
Brad Sellers,Chicago Bulls,Ohio State,1986,1,9
Patrick Ewing,New York Knicks,Georgetown,1985,1,1
Wayman Tisdale,Indiana Pacers,Oklahoma,1985,1,2
Benoit Benjamin,Los Angeles Clippers,Creighton,1985,1,3
Xavier McDaniel,Seattle SuperSonics,Wichita State,1985,1,4
Jon Koncak,Atlanta Hawks,Southern Methodist,1985,1,5
Joe Kleine,Sacramento Kings,Arkansas,1985,1,6
Chris Mullin,Golden State Warriors,St. John's (NY),1985,1,7
Detlef Schrempf,Dallas Mavericks,Washington,1985,1,8
Charles Oakley,Cleveland Cavaliers,Virginia Union,1985,1,9
